GC,HUVEC,NHEK,K562,GM12878
0,0.0004,0,0.0002,0.0008
1,0,0,0,0.0002
2,0,0,0,0
3,0,0,0,0.0002
4,0,0,0.0002,0.0004
5,0,0,0.0002,0.0006
6,0.0004,0,0.0006,0
7,0.0002,0,0.0002,0.0004
8,0.0002,0,0.0006,0.001
9,0.001,0,0,0.0004
10,0.0018,0.0002,0.0006,0.0018
11,0.0018,0,0.0002,0.0008
12,0.0016,0.001,0.0016,0.0016
13,0.004,0.0028,0.0016,0.004
14,0.0094,0.0086,0.0032,0.0098
15,0.0174,0.0152,0.0062,0.0142
16,0.0306,0.028,0.0098,0.0234
17,0.045,0.0454,0.0194,0.0418
18,0.064,0.0646,0.038,0.0658
19,0.0786,0.0834,0.0562,0.0892
20,0.0836,0.095,0.083,0.0962
21,0.0848,0.1104,0.101,0.104
22,0.081,0.1066,0.107,0.1104
23,0.0794,0.103,0.1182,0.098
24,0.0612,0.0814,0.096,0.069
25,0.065,0.0662,0.0882,0.0764
26,0.0554,0.0508,0.0684,0.0546
27,0.0416,0.0462,0.051,0.037
28,0.0342,0.0314,0.0382,0.029
29,0.0304,0.024,0.0272,0.0186
30,0.0262,0.0168,0.0208,0.0164
31,0.022,0.0098,0.0132,0.0092
32,0.0178,0.005,0.011,0.0066
33,0.0138,0.003,0.0096,0.005
34,0.0126,0.0008,0.0048,0.0024
35,0.0114,0.0004,0.0052,0.0026
36,0.0062,0,0.0032,0.0028
37,0.0036,0,0.0022,0.001
38,0.0032,0,0.0026,0.0018
39,0.001,0,0.003,0.0006
40,0.0022,0,0.0018,0.0008
41,0.002,0,0.0018,0.0006
42,0.001,0,0.0022,0.0002
43,0.0014,0,0.0006,0.0002
44,0.0012,0,0.0004,0.0002
45,0.0004,0,0.0004,0
46,0.0002,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0.0008,0,0.0002,0
