GC,HUVEC,NHEK,K562,GM12878
0,0.0004,0,0,0.0004
1,0,0,0,0.0004
2,0,0,0,0
3,0,0,0,0
4,0,0,0.0004,0.0004
5,0,0,0,0.0004
6,0,0,0,0
7,0,0,0,0.0004
8,0,0,0,0.0004
9,0.0004,0,0,0.0004
10,0.0024,0.0004,0.0012,0.0016
11,0.0008,0,0,0.0008
12,0.0004,0.0012,0.0008,0.0012
13,0.0036,0.0028,0.0016,0.0048
14,0.0112,0.012,0.0028,0.0132
15,0.0172,0.0184,0.0052,0.0188
16,0.0388,0.0352,0.0112,0.0292
17,0.0592,0.0512,0.0268,0.0532
18,0.0896,0.0784,0.0484,0.0808
19,0.1084,0.0972,0.0684,0.0992
20,0.1036,0.1056,0.092,0.1052
21,0.1052,0.1196,0.116,0.1188
22,0.0952,0.1076,0.1156,0.1168
23,0.0832,0.1024,0.1264,0.0944
24,0.0732,0.0748,0.0908,0.0656
25,0.0632,0.0576,0.0876,0.0644
26,0.0512,0.0416,0.0612,0.0472
27,0.0268,0.0408,0.0392,0.0324
28,0.0224,0.0208,0.0332,0.0196
29,0.0172,0.0148,0.0256,0.0108
30,0.0104,0.0104,0.0196,0.0092
31,0.006,0.0016,0.0112,0.0044
32,0.0048,0.004,0.0048,0.0024
33,0.0012,0.0012,0.0028,0.0008
34,0.0012,0.0004,0.0024,0.0008
35,0.0008,0,0.0012,0.0008
36,0.0012,0,0,0.0004
37,0,0,0.0008,0
38,0.0004,0,0.0004,0
39,0,0,0.0008,0
40,0,0,0.0004,0.0004
41,0.0004,0,0,0
42,0,0,0.0004,0
43,0,0,0.0004,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0.0004,0
