GC,HUVEC,NHEK,K562,GM12878
0,0.0004,0,0.0004,0.0012
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0.0004
4,0,0,0,0.0004
5,0,0,0.0004,0.0008
6,0.0008,0,0.0012,0
7,0.0004,0,0.0004,0.0004
8,0.0004,0,0.0012,0.0016
9,0.0016,0,0,0.0004
10,0.0012,0,0,0.002
11,0.0028,0,0.0004,0.0008
12,0.0028,0.0008,0.0024,0.002
13,0.0044,0.0028,0.0016,0.0032
14,0.0076,0.0052,0.0036,0.0064
15,0.0176,0.012,0.0072,0.0096
16,0.0224,0.0208,0.0084,0.0176
17,0.0308,0.0396,0.012,0.0304
18,0.0384,0.0508,0.0276,0.0508
19,0.0488,0.0696,0.044,0.0792
20,0.0636,0.0844,0.074,0.0872
21,0.0644,0.1012,0.086,0.0892
22,0.0668,0.1056,0.0984,0.104
23,0.0756,0.1036,0.11,0.1016
24,0.0492,0.088,0.1012,0.0724
25,0.0668,0.0748,0.0888,0.0884
26,0.0596,0.06,0.0756,0.062
27,0.0564,0.0516,0.0628,0.0416
28,0.046,0.042,0.0432,0.0384
29,0.0436,0.0332,0.0288,0.0264
30,0.042,0.0232,0.022,0.0236
31,0.038,0.018,0.0152,0.014
32,0.0308,0.006,0.0172,0.0108
33,0.0264,0.0048,0.0164,0.0092
34,0.024,0.0012,0.0072,0.004
35,0.022,0.0008,0.0092,0.0044
36,0.0112,0,0.0064,0.0052
37,0.0072,0,0.0036,0.002
38,0.006,0,0.0048,0.0036
39,0.002,0,0.0052,0.0012
40,0.0044,0,0.0032,0.0012
41,0.0036,0,0.0036,0.0012
42,0.002,0,0.004,0.0004
43,0.0028,0,0.0008,0.0004
44,0.0024,0,0.0008,0.0004
45,0.0008,0,0.0008,0
46,0.0004,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0.0016,0,0,0
