length,HUVEC,NHEK,K562,GM12878
0-100,0.0924,0,0.1264,0.13
100-200,0.1164,0,0.174,0.148
200-300,0.0904,0.4384,0.1324,0.1272
300-400,0.0624,0,0.104,0.082
400-500,0.0608,0.2304,0.086,0.076
500-600,0.0472,0,0.0692,0.0508
600-700,0.0512,0.1168,0.0612,0.0564
700-800,0.0428,0,0.0456,0.0368
800-900,0.046,0.0676,0.0412,0.0428
900-1000,0.0388,0,0.0288,0.0328
1000-1100,0.0424,0.0464,0.026,0.0304
1100-1200,0.0332,0,0.0188,0.024
1200-1300,0.0352,0.032,0.0168,0.0236
1300-1400,0.0272,0,0.0128,0.0176
1400-1500,0.026,0.0216,0.0104,0.0172
1500-1600,0.0196,0,0.008,0.014
1600-1700,0.0224,0.0148,0.0064,0.0136
1700-1800,0.016,0,0.0052,0.0092
1800-1900,0.0164,0.0092,0.0048,0.0092
1900-2000,0.0128,0,0.0036,0.0076
2000-2100,0.012,0.0068,0.0024,0.0068
2100-2200,0.01,0,0.0024,0.0056
2200-2300,0.0096,0.0044,0.0028,0.0052
2300-2400,0.0072,0,0.0016,0.0036
2400-2500,0.0064,0.0032,0.0012,0.0044
2500-2600,0.0064,0,0.0016,0.0036
2600-2700,0.006,0.0024,0.0008,0.0028
2700-2800,0.0036,0,0.0008,0.0028
2800-2900,0.004,0.002,0.0008,0.002
2900-3000,0.0032,0,0.0004,0.0016
3000-3100,0.0032,0.0012,0.0008,0.0016
3100-3200,0.0028,0,0.0004,0.0012
3200-3300,0.0028,0.0008,0.0004,0.0012
3300-3400,0.002,0,0.0004,0.0012
3400-3500,0.0024,0.0008,0.0004,0.0016
3500-3600,0.0016,0,0.0004,0.0008
3600-3700,0.002,0.0004,0.0004,0.0004
3700-3800,0.0012,0,0,0.0004
3800-3900,0.0016,0.0004,0.0004,0.0008
3900-4000,0.0008,0,0,0.0004
4000-4100,0.0012,0.0004,0,0.0004
4100-4200,0.0008,0,0,0.0004
4200-4300,0.0012,0,0,0.0004
4300-4400,0.0008,0,0,0.0004
4400-4500,0.0008,0,0,0
4500-4600,0.0008,0,0,0.0004
4600-4700,0.0004,0,0,0.0004
4700-4800,0.0004,0,0,0
4800-4900,0.0004,0,0,0.0004
4900-5000,0.0004,0,0,0
5000-5100,0.0004,0,0,0
5100-5200,0.0004,0,0,0
5200-5300,0.0004,0,0,0
5300-5400,0.0004,0,0,0
5400-5500,0.0004,0,0,0
5500-5600,0.0004,0,0,0
5600-5700,0.0004,0,0,0
5700-5800,0.0004,0,0,0
5800-5900,0.0004,0,0,0
5900-6000,0,0,0,0
6000-6100,0,0,0,0
6100-6200,0.0004,0,0,0
6200-6300,0,0,0,0
6300-6400,0,0,0,0
6400-6500,0.0004,0,0,0
