length,HUVEC,NHEK,K562,GM12878
0-100,0.2736,0,0.18,0.2068
100-200,0.2916,0,0.3776,0.2872
200-300,0.1644,0.514,0.2284,0.1952
300-400,0.0788,0,0.1144,0.1112
400-500,0.0564,0.2492,0.0552,0.0776
500-600,0.0304,0,0.0236,0.0432
600-700,0.0256,0.1268,0.0116,0.0304
700-800,0.0136,0,0.0044,0.0172
800-900,0.0148,0.0616,0.0024,0.0128
900-1000,0.0088,0,0.0012,0.0072
1000-1100,0.0096,0.0272,0.0008,0.0048
1100-1200,0.0056,0,0.0004,0.0024
1200-1300,0.0072,0.0112,0,0.0016
1300-1400,0.0044,0,0,0.0012
1400-1500,0.0044,0.0052,0,0.0004
1500-1600,0.0024,0,0,0.0004
1600-1700,0.0024,0.002,0,0.0004
1700-1800,0.0008,0,0,0
1800-1900,0.0012,0.0012,0,0
1900-2000,0.0008,0,0,0
2000-2100,0.0008,0.0008,0,0
2100-2200,0.0004,0,0,0
2200-2300,0.0004,0.0004,0,0
2300-2400,0.0004,0,0,0
2400-2500,0.0008,0.0004,0,0
2500-2600,0,0,0,0
2600-2700,0.0004,0,0,0
